Wall time,Step,Value
1603588225.8036337,0,32.53845977783203
1603588229.2403314,1,43.0
1603588232.8020074,2,52.55555725097656
1603588236.1515584,3,69.66666412353516
1603588239.7383573,4,66.0
1603588243.4524992,5,76.83333587646484
1603588247.0101323,6,89.66666412353516
1603588250.6884325,7,148.0
1603588254.2887778,8,169.0
1603588257.7230093,9,156.0
1603588261.1210048,10,150.6666717529297
1603588264.6515644,11,200.0
1603588268.2878315,12,179.6666717529297
1603588271.903319,13,200.0
1603588275.5486734,14,200.0
1603588279.312262,15,182.3333282470703
1603588283.006037,16,200.0
1603588286.6362815,17,200.0
1603588290.0800433,18,200.0
1603588293.516107,19,200.0
1603588296.9399247,20,200.0
1603588300.3365438,21,200.0
1603588303.9650247,22,200.0
1603588307.3822277,23,200.0
1603588311.0378826,24,200.0
1603588314.442283,25,200.0
1603588317.7921128,26,200.0
1603588321.2925785,27,200.0
1603588324.9811134,28,200.0
1603588328.5530686,29,200.0
1603588332.0425925,30,200.0
1603588335.52066,31,200.0
1603588339.1574123,32,200.0
1603588342.5491781,33,200.0
1603588345.993414,34,200.0
1603588349.3752491,35,200.0
1603588352.8722963,36,200.0
1603588356.483666,37,200.0
1603588359.916046,38,200.0
1603588363.4104757,39,200.0
1603588366.8639657,40,200.0
1603588370.2957006,41,200.0
1603588373.7883737,42,200.0
1603588377.2406912,43,200.0
1603588380.713147,44,200.0
1603588384.4102454,45,200.0
1603588387.7836041,46,200.0
1603588391.2167895,47,200.0
1603588394.6792755,48,200.0
1603588398.313955,49,200.0
1603588401.8099542,50,200.0
1603588405.5920658,51,200.0
1603588409.1927829,52,200.0
1603588412.6854668,53,200.0
1603588416.1088655,54,200.0
1603588419.540803,55,200.0
1603588423.03899,56,200.0
1603588426.6581216,57,200.0
1603588430.3074143,58,200.0
1603588433.907862,59,195.0
1603588437.4579742,60,200.0
1603588441.1696377,61,200.0
1603588444.7953067,62,200.0
1603588448.2278154,63,200.0
1603588451.7742636,64,163.0
1603588455.5941627,65,141.0
1603588459.2578962,66,69.28571319580078
1603588462.7086623,67,80.5999984741211
1603588466.1509917,68,80.0
1603588469.690641,69,99.0
1603588473.1697176,70,100.5999984741211
1603588476.7987907,71,101.0
1603588480.3684444,72,123.5
1603588483.9479866,73,135.3333282470703
1603588487.4634542,74,146.3333282470703
1603588490.9408414,75,160.3333282470703
1603588494.4004383,76,164.6666717529297
1603588497.9889357,77,193.6666717529297
1603588501.4397662,78,200.0
1603588504.9918537,79,200.0
1603588508.4861903,80,200.0
1603588511.922253,81,200.0
1603588515.5583193,82,200.0
1603588519.3137515,83,200.0
1603588522.9647627,84,200.0
1603588526.5829718,85,200.0
1603588530.1371078,86,200.0
1603588533.5297294,87,200.0
1603588536.9904234,88,200.0
1603588540.5654595,89,200.0
1603588544.3508062,90,187.0
1603588548.1743596,91,186.3333282470703
1603588551.7267306,92,177.0
1603588555.3523252,93,174.3333282470703
1603588558.988111,94,174.0
1603588562.8604598,95,190.0
1603588566.5782177,96,177.3333282470703
1603588570.2702615,97,198.3333282470703
1603588573.8643165,98,200.0
1603588577.5379865,99,200.0
