Wall time,Step,Value
1603587573.7932656,0,30.214284896850586
1603587574.8203554,1,38.54545593261719
1603587575.8200185,2,60.28571319580078
1603587576.8157122,3,75.5
1603587577.9556723,4,56.125
1603587578.9261286,5,80.0
1603587579.9362223,6,70.83333587646484
1603587580.989881,7,116.25
1603587582.1162355,8,106.80000305175781
1603587583.3097322,9,87.5999984741211
1603587584.3973274,10,134.0
1603587585.544013,11,131.5
1603587586.552695,12,109.25
1603587587.7640483,13,122.0
1603587588.8057816,14,146.6666717529297
1603587590.0958173,15,198.3333282470703
1603587591.0969498,16,200.0
1603587592.0546823,17,200.0
1603587593.139811,18,176.3333282470703
1603587594.169218,19,200.0
1603587595.3632245,20,179.0
1603587596.5201,21,180.3333282470703
1603587597.620193,22,200.0
1603587598.6694705,23,200.0
1603587599.8933175,24,185.0
1603587601.0110428,25,200.0
1603587601.9975805,26,200.0
1603587603.0421152,27,200.0
1603587604.2391624,28,171.6666717529297
1603587605.386113,29,170.0
1603587606.5221536,30,135.5
1603587607.5315988,31,136.0
1603587608.635619,32,137.6666717529297
1603587609.76627,33,152.0
1603587610.8784466,34,193.3333282470703
1603587612.085593,35,176.6666717529297
1603587613.351867,36,176.6666717529297
1603587614.559399,37,194.3333282470703
1603587615.7356596,38,183.3333282470703
1603587616.7186072,39,200.0
1603587617.9422407,40,192.3333282470703
1603587619.0357423,41,200.0
1603587620.0122256,42,200.0
1603587621.0371938,43,200.0
1603587622.1364524,44,193.3333282470703
1603587623.425956,45,172.0
1603587624.7095366,46,191.3333282470703
1603587626.0127003,47,191.3333282470703
1603587627.2562277,48,194.6666717529297
1603587628.3730328,49,200.0
1603587629.5248678,50,173.6666717529297
1603587630.7408676,51,185.3333282470703
1603587631.8362038,52,169.0
1603587633.0033393,53,159.6666717529297
1603587634.182198,54,143.0
1603587635.2885516,55,122.25
1603587636.5025344,56,111.25
1603587637.57625,57,100.75
1603587638.6492891,58,97.19999694824219
1603587639.69577,59,87.5999984741211
1603587640.7646945,60,59.875
1603587641.87659,61,82.4000015258789
1603587642.9705033,62,58.85714340209961
1603587644.0432065,63,98.19999694824219
1603587645.1136296,64,88.4000015258789
1603587646.1883738,65,81.0
1603587647.258923,66,102.75
1603587648.4455843,67,106.5
1603587649.544163,68,115.5
1603587650.64083,69,109.25
1603587651.7246065,70,98.80000305175781
1603587652.7571568,71,114.25
1603587653.9023514,72,118.25
1603587654.9496176,73,118.0
1603587656.0305083,74,117.25
1603587657.1273596,75,119.5
1603587658.1990035,76,108.0
1603587659.212407,77,105.5
1603587660.2204063,78,110.5
1603587661.3483655,79,88.5999984741211
1603587662.4201386,80,106.0
1603587663.6284103,81,104.5
1603587664.8618703,82,101.0
1603587665.9859705,83,87.80000305175781
1603587667.1100929,84,89.4000015258789
1603587668.4269753,85,83.0
1603587669.4935818,86,111.75
1603587670.5477476,87,110.75
1603587671.6825373,88,91.19999694824219
1603587672.7619748,89,114.5
1603587673.9273643,90,112.0
1603587674.9743214,91,111.75
1603587676.1040154,92,98.0
1603587677.153646,93,129.0
1603587678.1992443,94,122.75
1603587679.2123675,95,103.75
1603587680.2405415,96,140.6666717529297
1603587681.2763405,97,134.6666717529297
1603587682.3816426,98,126.0
1603587683.5160372,99,133.25
