Wall time,Step,Value
1603587451.0995793,0,31.153846740722656
1603587452.1032236,1,37.45454406738281
1603587453.139639,2,70.16666412353516
1603587454.206108,3,61.85714340209961
1603587455.2749236,4,76.57142639160156
1603587456.2271485,5,67.16666412353516
1603587457.289887,6,63.71428680419922
1603587458.30313,7,52.33333206176758
1603587459.3160179,8,38.6363639831543
1603587460.3722854,9,46.66666793823242
1603587461.4211893,10,78.33333587646484
1603587462.491328,11,53.375
1603587463.6115963,12,59.28571319580078
1603587464.60551,13,85.5999984741211
1603587465.7910907,14,78.5
1603587466.7958643,15,60.71428680419922
1603587467.890549,16,70.57142639160156
1603587468.908986,17,70.83333587646484
1603587469.9430656,18,83.5999984741211
1603587471.0994334,19,67.66666412353516
1603587472.2680647,20,62.14285659790039
1603587473.2707298,21,67.5
1603587474.2729661,22,67.66666412353516
1603587475.288317,23,67.0
1603587476.410306,24,73.83333587646484
1603587477.4060335,25,73.5
1603587478.4866023,26,77.16666412353516
1603587479.7041652,27,89.0
1603587480.7411559,28,72.16666412353516
1603587481.692552,29,71.66666412353516
1603587482.7552583,30,56.375
1603587483.9174855,31,64.85713958740234
1603587484.9257598,32,67.33333587646484
1603587486.0235777,33,78.66666412353516
1603587487.0868113,34,88.80000305175781
1603587488.1537204,35,92.0
1603587489.3469326,36,100.0
1603587490.4204445,37,137.6666717529297
1603587491.5168865,38,114.80000305175781
1603587492.5232737,39,113.5
1603587493.690249,40,111.5
1603587494.7132263,41,83.5999984741211
1603587495.7724206,42,123.75
1603587496.9142737,43,97.80000305175781
1603587497.8749444,44,133.6666717529297
1603587498.9577053,45,138.6666717529297
1603587500.006482,46,183.3333282470703
1603587501.0737593,47,197.6666717529297
1603587502.036876,48,140.6666717529297
1603587503.055987,49,200.0
1603587504.2054703,50,166.6666717529297
1603587505.4175494,51,172.3333282470703
1603587506.5090463,52,200.0
1603587507.6822016,53,151.3333282470703
1603587508.7452714,54,160.6666717529297
1603587509.704035,55,134.3333282470703
1603587510.7250574,56,143.3333282470703
1603587511.8768613,57,172.0
1603587512.9552963,58,151.6666717529297
1603587513.9951966,59,118.5
1603587515.0902321,60,124.0
1603587516.1477277,61,97.80000305175781
1603587517.1286588,62,104.75
1603587518.2683613,63,87.19999694824219
1603587519.272426,64,72.33333587646484
1603587520.379779,65,69.0
1603587521.4446287,66,73.0
1603587522.5148933,67,61.42856979370117
1603587523.5976613,68,65.14286041259766
1603587524.659706,69,64.0
1603587525.7496333,70,62.71428680419922
1603587526.7689095,71,64.28571319580078
1603587527.8272133,72,60.71428680419922
1603587528.9943833,73,69.42857360839844
1603587530.0659406,74,78.16666412353516
1603587531.0705929,75,71.16666412353516
1603587532.2411902,76,66.57142639160156
1603587533.2334247,77,67.0
1603587534.4220834,78,75.66666412353516
1603587535.4605381,79,90.0
1603587536.487846,80,86.80000305175781
1603587537.5103014,81,82.0
1603587538.5218663,82,108.5
1603587539.6740181,83,107.25
1603587540.7464259,84,112.5
1603587541.946376,85,158.0
1603587543.0134866,86,140.3333282470703
1603587544.1992924,87,110.5
1603587545.419969,88,163.3333282470703
1603587546.5521634,89,183.6666717529297
1603587547.7334726,90,168.0
1603587548.7581916,91,145.0
1603587549.858796,92,154.6666717529297
1603587551.000877,93,180.0
1603587552.096335,94,164.0
1603587553.1401136,95,169.3333282470703
1603587554.1981497,96,178.0
1603587555.2313797,97,156.0
1603587556.3639834,98,192.0
1603587557.5469143,99,181.0
