Wall time,Step,Value
1603587715.9079416,0,28.928571701049805
1603587716.9526622,1,44.66666793823242
1603587717.9973452,2,76.16666412353516
1603587719.1846478,3,54.875
1603587720.324105,4,102.5
1603587721.3952475,5,67.57142639160156
1603587722.3559563,6,80.4000015258789
1603587723.5141375,7,95.4000015258789
1603587724.6521416,8,147.75
1603587725.799259,9,181.6666717529297
1603587726.88637,10,148.3333282470703
1603587728.0500646,11,129.25
1603587729.4008458,12,140.75
1603587730.5772219,13,180.0
1603587731.68816,14,148.6666717529297
1603587732.798254,15,163.3333282470703
1603587733.9553003,16,193.0
1603587735.1397862,17,170.0
1603587736.2307694,18,160.3333282470703
1603587737.5534172,19,166.3333282470703
1603587738.6663792,20,167.3333282470703
1603587739.8804483,21,134.5
1603587741.004049,22,175.0
1603587742.15289,23,164.0
1603587743.332737,24,130.75
1603587744.441946,25,104.0
1603587745.6599576,26,152.6666717529297
1603587746.8754148,27,124.75
1603587747.942283,28,135.6666717529297
1603587749.1610978,29,200.0
1603587750.3417692,30,193.6666717529297
1603587751.5293324,31,199.3333282470703
1603587752.804883,32,200.0
1603587754.0920606,33,200.0
1603587755.2307725,34,200.0
1603587756.2931619,35,174.3333282470703
1603587757.3201458,36,200.0
1603587758.3139005,37,200.0
1603587759.3382971,38,200.0
1603587760.4487994,39,200.0
1603587761.5154212,40,200.0
1603587762.611112,41,200.0
1603587763.6632411,42,200.0
1603587764.687332,43,200.0
1603587765.7084193,44,200.0
1603587766.6925507,45,200.0
1603587767.7388017,46,200.0
1603587768.7408657,47,200.0
1603587769.7158282,48,200.0
1603587770.6786442,49,200.0
1603587771.764711,50,200.0
1603587772.790808,51,200.0
1603587773.793997,52,200.0
1603587774.7568924,53,200.0
1603587775.8427298,54,200.0
1603587776.8442104,55,200.0
1603587778.0357502,56,200.0
1603587779.0616271,57,200.0
1603587780.0631797,58,200.0
1603587781.0328085,59,200.0
1603587782.062873,60,200.0
1603587783.152481,61,200.0
1603587784.126569,62,200.0
1603587785.1169858,63,200.0
1603587786.1174884,64,200.0
1603587787.1508582,65,200.0
1603587788.18524,66,200.0
1603587789.2371094,67,200.0
1603587790.2852826,68,200.0
1603587791.285211,69,200.0
1603587792.306079,70,200.0
1603587793.283877,71,200.0
1603587794.2666934,72,200.0
1603587795.25616,73,200.0
1603587796.2445116,74,200.0
1603587797.2318215,75,200.0
1603587798.2763708,76,200.0
1603587799.3692136,77,183.6666717529297
1603587800.5203872,78,169.6666717529297
1603587801.597029,79,154.3333282470703
1603587802.7583025,80,120.0
1603587803.922796,81,164.0
1603587805.0621958,82,161.3333282470703
1603587806.245003,83,160.0
1603587807.408393,84,171.3333282470703
1603587808.494709,85,174.0
1603587809.6221964,86,177.3333282470703
1603587810.7232366,87,164.6666717529297
1603587811.8876898,88,162.3333282470703
1603587813.1081207,89,163.0
1603587814.1778195,90,168.0
1603587815.281132,91,177.3333282470703
1603587816.4355907,92,188.3333282470703
1603587817.6966007,93,195.0
1603587818.899952,94,192.3333282470703
1603587820.1194057,95,187.6666717529297
1603587821.477455,96,192.0
1603587822.7164783,97,197.0
1603587823.8359096,98,200.0
1603587824.8110316,99,200.0
